2018-04-15T10.33.22  |1905723, 21FF
2018-04-15T10.33.22  |1905742, 03D5
2018-04-15T10.33.22  |1905839, 0621312900E0CB
2018-04-15T10.33.22  |1905952, 053121FF00D5
2018-04-15T10.33.22  |1906038, 052131066083
2018-04-15T10.33.22  |1906184, 093121FB00000000
2018-04-15T10.33.22  |1906202, F3CC
2018-04-15T10.34.21  |1965134, 082131070A220658C5
2018-04-15T10.34.21  |1965197, 05
2018-04-15T10.34.21  |1965249, 3121FF03D5
2018-04-15T10.34.21  |1965334, 0521310960A1
2018-04-15T10.34.22  |1965410, 05
2018-04-15T10.34.22  |1965459, 3121FF03D5
2018-04-15T10.34.22  |1965573, 0021310B000023E490
2018-04-15T10.34.22  |1965709, 053121FF03D5
2018-04-15T10.34.22  |1965802, 0621312900E0CB
2018-04-15T10.34.22  |1965919, 053121FF03D5
2018-04-15T10.34.22  |1966001, 052131066083
2018-04-15T10.34.22  |1966159, 093121FB00000000F3CC
2018-04-15T10.35.21  |2025148, 082131070A2306DEC6
2018-04-15T10.35.21  |2025222, 05
2018-04-15T10.35.21  |2025272, 3121FF03D5
2018-04-15T10.35.21  |2025357, 0521310960A1
2018-04-15T10.35.21  |2025444, 053121
2018-04-15T10.35.22  |2025475, FF03D5
2018-04-15T10.35.22  |2025586, 0821310B000023E490
2018-04-15T10.35.22  |2025693, 053121FF
2018-04-15T10.35.22  |2025711, 03D5
2018-04-15T10.35.22  |2025805, 0621312900E0CB
2018-04-15T10.35.22  |2025902, 053121FF
2018-04-15T10.35.22  |2025920, 03D5
2018-04-15T10.35.22  |2026005, 052131066083
2018-04-15T10.35.22  |2026082, 09
2018-04-15T10.35.22  |2026110, 3121FB
2018-04-15T10.35.22  |2026140, 000000
2018-04-15T10.35.22  |2026170, 00F3CC
2018-04-15T10.36.21  |2085160, 082131070A24064CC5
2018-04-15T10.36.21  |2085255, 053101
2018-04-15T10.36.21  |2085283, FF03D5
2018-04-15T10.36.21  |2085370, 0521310960A1
2018-04-15T10.36.22  |2085464, 053121
2018-04-15T10.36.22  |2085496, FF03D5
2018-04-15T10.36.22  |2085609, 0821310B000023E490
2018-04-15T10.36.22  |2085694, 0531
2018-04-15T10.36.22  |2085734, 21FF03D5
